Form: 110_frmClassBuilder
------------------------------------
Name: optMethodAddTypeSub	Typ: OptionButton
Name: Bezeichnungsfeld391	Typ: Label
Name: optMethodAddTypeFunction	Typ: OptionButton
Name: Bezeichnungsfeld396	Typ: Label
Name: Bezeichnungsfeld401	Typ: Label
Name: EmptyCell922	Typ: EmptyCell
Name: EmptyCell1433	Typ: EmptyCell
Name: EmptyCell1484	Typ: EmptyCell
Name: chkAddProperty_IsForeignKey	Typ: CheckBox
Name: Bezeichnungsfeld1262	Typ: Label
Name: EmptyCell843	Typ: EmptyCell
Name: EmptyCell1459	Typ: EmptyCell
Name: optMethodAddPrivate	Typ: OptionButton
Name: Bezeichnungsfeld354	Typ: Label
Name: optMethodAddPublic	Typ: OptionButton
Name: Bezeichnungsfeld357	Typ: Label
Name: Bezeichnungsfeld358	Typ: Label
Name: EmptyCell923	Typ: EmptyCell
Name: EmptyCell1434	Typ: EmptyCell
Name: EmptyCell1811	Typ: EmptyCell
Name: EmptyCell1485	Typ: EmptyCell
Name: cmbAddProperty_Class_FK	Typ: ComboBox
Name: Bezeichnungsfeld1492	Typ: Label
Name: EmptyCell845	Typ: EmptyCell
Name: EmptyCell1460	Typ: EmptyCell
Name: cmdMethod_Add	Typ: CommandButton
Name: EmptyCell924	Typ: EmptyCell
Name: EmptyCell1435	Typ: EmptyCell
Name: EmptyCell870	Typ: EmptyCell
Name: EmptyCell871	Typ: EmptyCell
Name: EmptyCell1785	Typ: EmptyCell
Name: EmptyCell1486	Typ: EmptyCell
Name: cmbAddProperty_Property_FK	Typ: ComboBox
Name: Bezeichnungsfeld1493	Typ: Label
Name: EmptyCell847	Typ: EmptyCell
Name: EmptyCell1461	Typ: EmptyCell
Name: EmptyCell1574	Typ: EmptyCell
Name: EmptyCell1575	Typ: EmptyCell
Name: EmptyCell1578	Typ: EmptyCell
Name: EmptyCell1579	Typ: EmptyCell
Name: EmptyCell1581	Typ: EmptyCell
Name: EmptyCell925	Typ: EmptyCell
Name: EmptyCell1436	Typ: EmptyCell
Name: Bezeichnungsfeld522	Typ: Label
Name: EmptyCell1786	Typ: EmptyCell
Name: EmptyCell1487	Typ: EmptyCell
Name: cmdProperty_Add	Typ: CommandButton
Name: EmptyCell1319	Typ: EmptyCell
Name: EmptyCell1462	Typ: EmptyCell
Name: EmptyCell1321	Typ: EmptyCell
Name: EmptyCell1322	Typ: EmptyCell
Name: EmptyCell1323	Typ: EmptyCell
Name: EmptyCell1324	Typ: EmptyCell
Name: EmptyCell1325	Typ: EmptyCell
Name: EmptyCell1326	Typ: EmptyCell
Name: EmptyCell1327	Typ: EmptyCell
Name: EmptyCell1328	Typ: EmptyCell
Name: EmptyCell1437	Typ: EmptyCell
Name: cmbClassRequired_Add	Typ: ComboBox
Name: EmptyCell1787	Typ: EmptyCell
Name: EmptyCell1488	Typ: EmptyCell
Name: EmptyCell1604	Typ: EmptyCell
Name: EmptyCell1605	Typ: EmptyCell
Name: EmptyCell1342	Typ: EmptyCell
Name: EmptyCell1463	Typ: EmptyCell
Name: EmptyCell1345	Typ: EmptyCell
Name: EmptyCell1346	Typ: EmptyCell
Name: EmptyCell1348	Typ: EmptyCell
Name: EmptyCell1349	Typ: EmptyCell
Name: EmptyCell1350	Typ: EmptyCell
Name: EmptyCell1827	Typ: EmptyCell
Name: EmptyCell1438	Typ: EmptyCell
Name: cmdRequiredClass_Add	Typ: CommandButton
Name: EmptyCell1788	Typ: EmptyCell
Name: EmptyCell1489	Typ: EmptyCell
Name: EmptyCell1606	Typ: EmptyCell
Name: EmptyCell1824	Typ: EmptyCell
Name: EmptyCell1464	Typ: EmptyCell
Name: EmptyCell1367	Typ: EmptyCell
Name: EmptyCell1368	Typ: EmptyCell
Name: EmptyCell1369	Typ: EmptyCell
Name: EmptyCell1370	Typ: EmptyCell
Name: EmptyCell1371	Typ: EmptyCell
Name: EmptyCell1372	Typ: EmptyCell
Name: EmptyCell1762	Typ: EmptyCell
Name: EmptyCell1374	Typ: EmptyCell
Name: EmptyCell1439	Typ: EmptyCell
Name: EmptyCell1498	Typ: EmptyCell
Name: EmptyCell1789	Typ: EmptyCell
Name: EmptyCell1490	Typ: EmptyCell
Name: EmptyCell1495	Typ: EmptyCell
Name: EmptyCell814	Typ: EmptyCell
Name: EmptyCell1465	Typ: EmptyCell
Name: EmptyCell1217	Typ: EmptyCell
Name: EmptyCell1220	Typ: EmptyCell
Name: EmptyCell1221	Typ: EmptyCell
Name: EmptyCell1224	Typ: EmptyCell
Name: EmptyCell904	Typ: EmptyCell
Name: EmptyCell905	Typ: EmptyCell
Name: EmptyCell1763	Typ: EmptyCell
Name: EmptyCell926	Typ: EmptyCell
